518020990012;603 938 728 636 1921 990 3647 2678 1730 658
518020990010;603 806 1921 938 618 448 728 1977 3915 866
518020990009;618 2484 2066 1135 2951 1346 824 1921 448 990
518020990007;2484 618 1135 990 1771 2365 448 938 1921 866
518010990019;28 519 37 494 19 378 450 477 556 541
518010990018;519 28 494 477 556 37 541 378 575 7348
518010990016;519 477 378 363 19 575 556 541 2161 448
518010990007;28 494 519 378 451 450 363 19 575 459
518030990014;6326 5715 6850 2289 594 4681 4905 925 1945 4786
518030990020;1121 6759 6007 5715 5726 6334 6063 6850 5459 5820
518030990015;5715 5377 6446 2289 1641 5628 6680 4211 5639 6677
518030990035;5715 6334 1121 5377 4211 6071 6850 51 6680 6677
518030990024;5715 6334 4861 5459 6732 5560 1121 5628 6850 6712
518030990039;5715 6850 6334 5377 4861 1121 6341 6051 78 51
518082990003;4393 1356 3647 866 670 4681 1634 1493 764 4245
518070990006;2119 2309 7295 7912 1343 7797 7297 3838 4748 1720
518110990002;9283 8498 8893 8614 8683 8478 9660 8674 1257 8476
518120990021;10148 9975 10079 9833 10003 9775 10111 10093 10150 9874
518120990027;10148 9975 10079 9775 10093 9854 10003 10366 9833 10159
518120990025;10148 9975 10079 10003 9775 9854 10093 1959 9833 10150
518120990036;10148 9975 10003 10079 10093 1959 10111 10366 303 9775
518130990019;10595 10492 10523 3661 10439 13278 170 10308 10475 6849
518130990016;10595 10492 10523 13278 170 10308 11395 3661 10475 10639
518130990003;10595 10492 10523 6849 10308 2438 13278 11395 3661 10603
518140990007;10907 11000 12012 11001 1243 4127 8019 8028 29 10712
518140990009;448 11000 10866 10907 10936 4788 10783 10712 10858 11001
518150990001;448 11140 11340 11240 11290 11108 11386 11381 11146 11089
518170990008;11463 11440 11399 11448 8987 266 448 443 11462 2414
518200990008;310 592 11678 11658 275 11623 11598 10148 11679 11642
518190990010;10936 11475 6957 11519 7061 11572 11560 11497 12227 11470
518170990010;11440 2414 11463 249 8617 11457 11448 443 421 266
518200990028;592 310 11678 275 11658 10148 272 11623 11642 11688
518200990029;592 310 11678 11679 11623 11658 10148 11642 11688 11598
518200990046;592 310 10148 275 11623 11678 11658 271 272 11688
518200990064;310 592 275 11678 11623 272 11642 11658 11672 11598
518200990058;310 592 10148 11678 275 11623 11658 271 11598 272
518200990056;310 592 11678 10148 11623 275 272 11658 11679 271
518200990075;592 310 11678 272 11658 11623 10148 11642 271 11679
518370990003;5025 7213 5946 11951 11925 11931 2829 11984 4436 8028
518430990001;448 12479 12201 344 1457 12564 12428 12670 12355 12661
518430990010;448 12479 12201 12670 12428 12345 344 12355 12564 1457
518430990008;12201 12479 448 12670 2829 1334 12428 12345 12564 12355
518430990004;448 12201 12479 12670 344 12329 12345 12564 12428 1457
518010910009;28 479 378 494 519 575 450 37 477 19
518010910007;28 519 494 450 431 572 575 551 573 19
518010910004;28 519 378 494 450 19 477 575 37 363
518010910003;28 519 378 19 494 477 572 575 37 451
518010910019;519 28 494 19 37 378 477 556 370 575
518010910016;37 28 519 378 494 450 572 363 473 1641
518010910013;28 479 378 519 477 494 450 19 363 575
518010910012;28 37 378 519 477 1641 363 459 764 450
518010910010;28 519 378 494 479 450 443 572 477 363
518010910037;519 28 378 494 19 37 575 477 450 473
518010910038;28 519 37 19 494 378 450 13 370 572
518010910039;28 378 519 494 450 8987 575 551 19 37
518010910040;28 519 37 494 378 551 19 477 575 572
518010910041;494 28 519 479 378 477 8987 450 19 575
518010910029;519 4243 4245 28 4393 370 450 397 1641 13
518010910030;28 494 450 378 519 37 556 448 575 451
518010910035;28 519 378 19 494 450 575 363 479 551
518010910045;28 519 494 378 473 450 477 19 37 551
518010910044;378 28 8987 443 575 519 473 37 363 450
518010910043;494 519 28 479 450 443 37 477 2549 378
518010910042;28 494 378 459 575 19 572 477 573 411
518010910046;28 519 19 477 575 378 572 541 363 450
518010910053;28 519 378 450 363 494 477 19 575 541
518010910048;519 28 378 494 19 363 450 477 37 556
518020910002;990 938 866 1370 952 603 728 658 2484 1110
518010910058;28 378 363 494 519 411 450 572 19 575
518010910054;479 443 28 494 378 519 421 407 363 37
518020910012;448 2 37 3336 2305 2951 3380 3647 4200 1661
518020910006;3647 3915 603 37 448 728 1921 2549 1370 990
518020910007;806 636 448 1977 4994 4789 2373 1201 1769 1921
518020910008;866 990 1771 2485 721 3096 800 4258 2583 938
518020910004;618 2951 3647 728 2484 3718 1921 2066 1135 3336
518020910018;806 1977 4994 3149 2357 2484 3094 2272 2773 703
518020910016;806 3149 3827 4994 1977 4780 6269 421 3094 4694
518020910015;728 2484 938 1921 990 636 806 1266 3239 3431
518020910014;990 1346 679 3838 4211 2717 2549 618 3915 3647
518020910013;2334 2601 1552 3002 2730 6007 1769 303 806 1466
518020910027;806 1370 4200 1977 1921 448 2484 728 1371 1730
518020910026;448 1532 37 397 866 603 1087 3861 3239 990
518020910023;603 2099 4983 3297 938 1557 2 2744 448 2666
518020910020;2373 448 2355 4958 2829 3618 1132 5025 1390 1941
518020910043;866 990 938 1771 4258 2484 1266 658 6466 3765
518020910044;990 2678 938 603 3341 1 1370 2099 866 636
518020910041;4542 3068 866 721 3392 2484 1370 952 4543 4258
518020910034;1346 3647 37 2549 3915 4211 3838 1110 2265 714
518020910033;603 1370 2484 448 1557 2099 679 866 618 1110
518020910045;2373 2829 2355 3618 6947 1390 1941 1044 3220 2508
518020910030;990 1921 1346 3915 2484 1135 3149 1771 448 2951
518020910059;2484 448 636 618 1921 2355 990 728 806 2066
518020910046;618 824 2951 938 3647 611 2066 990 1557 942
518020910053;938 2951 618 990 2484 1921 3252 3239 448 1557
518020910054;3647 37 618 1370 2204 679 938 680 824 728
518020910065;618 3647 824 1370 866 3834 37 2951 952 990
518020910061;990 866 1771 938 3096 2318 831 2485 1370 2484
518020910075;1484 938 603 784 2099 1636 990 1557 866 1420
518020910071;990 806 1977 866 938 2484 1771 3239 4994 3149
518020910070;3313 1730 2484 636 3442 603 1651 703 3661 3809
518020910068;990 3240 397 37 1671 5121 3647 4748 2602 2277
518020910063;3749 1110 6466 2322 1370 4077 2305 719 618 1320
518020910090;866 1921 1346 938 990 1370 603 3996 3239 2484
518020910086;618 448 947 824 3252 1557 2951 4381 1457 786
518020910081;3442 448 1730 2484 3431 3380 1881 1135 1323 1085
518020910078;448 866 3749 618 1370 990 6466 3915 4077 1110
518020910102;2484 990 3647 806 1370 728 1921 1371 448 952
518020910103;1370 990 603 866 2484 938 728 1921 1356 3661
518020910104;448 1110 1881 2355 3093 1964 603 1135 1044 1738
518020910105;3915 1346 448 2549 728 1921 2385 806 658 2484
518020910107;603 448 806 728 2484 1730 2744 636 1977 3464
518020910094;3260 603 2666 2192 2619 3341 1628 4807 1 801
518020910095;990 3838 866 679 1771 37 397 680 938 2549
518020910097;990 866 1771 2485 800 2119 618 2951 831 824
518020910110;1346 1110 2373 6466 3749 2322 2355 3915 4077 990
518020910109;990 3239 2484 938 2635 1356 1771 3838 1921 4200
518020910117;55 2261 4215 1501 618 3861 3336 1087 1532 2666
518020910118;448 1769 3431 676 603 1921 1257 303 3002 2601
518020910123;806 2373 1977 2355 2484 1044 728 4994 3618 1921
518020910122;2484 448 3431 1921 990 728 1135 2330 2549 1346
518020910124;448 728 603 2484 1921 1135 658 990 938 1881
518020910125;3647 37 1346 4245 4558 55 603 6466 3749 2322
518020910128;636 3464 448 3923 1730 2484 1346 3336 618 326
